GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170316011,6.0,,06,017,031601,1,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,4.0,,06,017,031601,2,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,3.0,,06,017,031601,3,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,20.0,,06,017,031602,1,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160212020,
060170316022,3.0,,06,017,031602,2,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160222020,
060170320011,4.0,,06,017,032001,1,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703200112020,
060170320021,0.0,,06,017,032002,1,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703200212020,
060170320022,0.0,,06,017,032002,2,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703200222020,
060170302013,3.0,,06,017,030201,3,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020132020,
060170302011,1.0,,06,017,030201,1,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020112020,
060170302012,5.0,,06,017,030201,2,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020122020,
060170302021,4.0,,06,017,030202,1,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020212020,
060170302022,1.0,,06,017,030202,2,H12_017N,Renter Occupied 7 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020222020,
