GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170303012,375.0,,06,017,030301,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030122020,
060170303013,191.0,,06,017,030301,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030132020,
060170303021,205.0,,06,017,030302,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030212020,
060170303022,239.0,,06,017,030302,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030222020,
060170303023,165.0,,06,017,030302,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030232020,
060170303024,244.0,,06,017,030302,4,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030242020,
060170304021,164.0,,06,017,030402,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040212020,
060170304022,289.0,,06,017,030402,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040222020,
060170304023,240.0,,06,017,030402,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040232020,
060170304024,224.0,,06,017,030402,4,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040242020,
060170304025,126.0,,06,017,030402,5,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040252020,
060170304031,114.0,,06,017,030403,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040312020,
060170304032,34.0,,06,017,030403,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040322020,
060170304033,49.0,,06,017,030403,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040332020,
060170304041,158.0,,06,017,030404,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040412020,
060170304042,149.0,,06,017,030404,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040422020,
060170304043,150.0,,06,017,030404,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040432020,
060170305021,45.0,,06,017,030502,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050212020,
060170305022,43.0,,06,017,030502,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050222020,
060170305023,86.0,,06,017,030502,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050232020,
060170305024,36.0,,06,017,030502,4,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050242020,
060170305041,96.0,,06,017,030504,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050412020,
060170305042,42.0,,06,017,030504,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050422020,
060170305043,83.0,,06,017,030504,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050432020,
060170305072,56.0,,06,017,030507,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050722020,
060170305061,90.0,,06,017,030506,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050612020,
060170305071,47.0,,06,017,030507,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050712020,
060170305073,48.0,,06,017,030507,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050732020,
060610201041,41.0,,06,061,020104,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010412020,
060610201042,84.0,,06,061,020104,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010422020,
060610201043,86.0,,06,061,020104,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010432020,
060610201051,62.0,,06,061,020105,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010512020,
060610201052,71.0,,06,061,020105,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010522020,
060610201061,133.0,,06,061,020106,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010612020,
060610201062,114.0,,06,061,020106,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010622020,
060610201071,281.0,,06,061,020107,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010712020,
060610201072,272.0,,06,061,020107,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010722020,
060610201073,248.0,,06,061,020107,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010732020,
060610221001,125.0,,06,061,022100,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210012020,
060610221002,33.0,,06,061,022100,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210022020,
060610222001,60.0,,06,061,022200,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102220012020,
060610222002,112.0,,06,061,022200,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102220022020,
060610223001,21.0,,06,061,022300,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102230012020,
060610223002,67.0,,06,061,022300,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102230022020,
320050016001,112.0,,32,005,001600,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500160012020,
320050016002,56.0,,32,005,001600,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500160022020,
320050017001,148.0,,32,005,001700,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500170012020,
320050017002,247.0,,32,005,001700,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500170022020,
320050018001,180.0,,32,005,001800,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500180012020,
320050018002,174.0,,32,005,001800,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500180022020,
320310033051,198.0,,32,031,003305,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330512020,
320310033061,272.0,,32,031,003306,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330612020,
320310033062,99.0,,32,031,003306,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330622020,
320310033071,101.0,,32,031,003307,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330712020,
320310033072,62.0,,32,031,003307,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330722020,
320310033081,35.0,,32,031,003308,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330812020,
320310033082,76.0,,32,031,003308,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330822020,
320310033083,54.0,,32,031,003308,3,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330832020,
320310033101,53.0,,32,031,003310,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331012020,
320310033102,116.0,,32,031,003310,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331022020,
320310033111,124.0,,32,031,003311,1,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331112020,
320310033112,100.0,,32,031,003311,2,H13_012N,Renter Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331122020,
060170316011,18.0,,06,017,031601,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,20.0,,06,017,031601,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,28.0,,06,017,031601,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,35.0,,06,017,031602,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160212020,
060170316022,17.0,,06,017,031602,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160222020,
060170320011,4.0,,06,017,032001,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200112020,
060170320021,1.0,,06,017,032002,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200212020,
060170320022,1.0,,06,017,032002,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200222020,
060170302013,11.0,,06,017,030201,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020132020,
060170302011,13.0,,06,017,030201,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020112020,
060170302012,4.0,,06,017,030201,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020122020,
060170302021,7.0,,06,017,030202,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020212020,
060170302022,5.0,,06,017,030202,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020222020,
060170302023,6.0,,06,017,030202,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020232020,
060170303011,7.0,,06,017,030301,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030112020,
060170303012,19.0,,06,017,030301,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030122020,
060170303013,15.0,,06,017,030301,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030132020,
060170303021,22.0,,06,017,030302,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030212020,
060170303022,16.0,,06,017,030302,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030222020,
060170303023,11.0,,06,017,030302,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030232020,
060170303024,21.0,,06,017,030302,4,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030242020,
060170304021,17.0,,06,017,030402,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040212020,
060170304022,16.0,,06,017,030402,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040222020,
060170304023,14.0,,06,017,030402,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040232020,
060170304024,10.0,,06,017,030402,4,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040242020,
060170304025,5.0,,06,017,030402,5,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040252020,
060170304031,7.0,,06,017,030403,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040312020,
060170304032,2.0,,06,017,030403,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040322020,
060170304033,4.0,,06,017,030403,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040332020,
060170304041,14.0,,06,017,030404,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040412020,
060170304042,7.0,,06,017,030404,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040422020,
060170304043,17.0,,06,017,030404,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040432020,
060170305021,0.0,,06,017,030502,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050212020,
060170305022,1.0,,06,017,030502,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050222020,
060170305023,5.0,,06,017,030502,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050232020,
060170305024,5.0,,06,017,030502,4,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050242020,
060170305041,2.0,,06,017,030504,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050412020,
060170305042,1.0,,06,017,030504,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050422020,
060170305043,3.0,,06,017,030504,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050432020,
060170305072,0.0,,06,017,030507,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050722020,
060170305061,7.0,,06,017,030506,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050612020,
060170305071,2.0,,06,017,030507,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050712020,
060170305073,0.0,,06,017,030507,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050732020,
060610201041,4.0,,06,061,020104,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010412020,
060610201042,1.0,,06,061,020104,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010422020,
060610201043,4.0,,06,061,020104,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010432020,
060610201051,1.0,,06,061,020105,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010512020,
060610201052,1.0,,06,061,020105,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010522020,
060610201061,6.0,,06,061,020106,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010612020,
060610201062,8.0,,06,061,020106,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010622020,
060610201071,14.0,,06,061,020107,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010712020,
060610201072,10.0,,06,061,020107,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010722020,
060610201073,15.0,,06,061,020107,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010732020,
060610221001,7.0,,06,061,022100,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210012020,
060610221002,0.0,,06,061,022100,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210022020,
060610222001,4.0,,06,061,022200,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102220012020,
060610222002,4.0,,06,061,022200,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102220022020,
060610223001,1.0,,06,061,022300,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102230012020,
060610223002,6.0,,06,061,022300,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102230022020,
320050016001,8.0,,32,005,001600,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500160012020,
320050016002,2.0,,32,005,001600,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500160022020,
320050017001,7.0,,32,005,001700,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500170012020,
320050017002,12.0,,32,005,001700,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500170022020,
320050018001,15.0,,32,005,001800,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500180012020,
320050018002,2.0,,32,005,001800,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3200500180022020,
320310033051,14.0,,32,031,003305,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330512020,
320310033061,14.0,,32,031,003306,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330612020,
320310033062,6.0,,32,031,003306,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330622020,
320310033071,11.0,,32,031,003307,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330712020,
320310033072,2.0,,32,031,003307,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330722020,
320310033081,1.0,,32,031,003308,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330812020,
320310033082,6.0,,32,031,003308,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330822020,
320310033083,1.0,,32,031,003308,3,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100330832020,
320310033101,2.0,,32,031,003310,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331012020,
320310033102,10.0,,32,031,003310,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331022020,
320310033111,14.0,,32,031,003311,1,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331112020,
320310033112,6.0,,32,031,003311,2,H13_013N,Renter Occupied: Householder 15 to 24 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,3203100331122020,
