"State","Zip Code","Program","Participants"
"CA","90033","Alien Physician","5"
"CA","90048","Alien Physician","2"
"CA","90095","Alien Physician","1"
"CA","90502","Alien Physician","1"
"CA","90813","Alien Physician","1"
"CA","92103","Alien Physician","4"
"CA","92120","Alien Physician","1"
"CA","92123","Alien Physician","1"
"CA","92354","Alien Physician","2"
"CA","92868","Alien Physician","2"
"CA","93306","Alien Physician","1"
"CA","94143","Alien Physician","7"
"CA","94305","Alien Physician","12"
"CA","95231","Alien Physician","1"
"CA","95817","Alien Physician","1"
"CA","90004","Au Pair","3"
"CA","90005","Au Pair","2"
"CA","90008","Au Pair","2"
"CA","90016","Au Pair","3"
"CA","90018","Au Pair","1"
"CA","90019","Au Pair","7"
"CA","90024","Au Pair","7"
"CA","90025","Au Pair","2"
"CA","90026","Au Pair","2"
"CA","90027","Au Pair","4"
"CA","90034","Au Pair","3"
"CA","90035","Au Pair","5"
"CA","90036","Au Pair","1"
"CA","90039","Au Pair","4"
"CA","90041","Au Pair","1"
"CA","90042","Au Pair","3"
"CA","90045","Au Pair","5"
"CA","90046","Au Pair","4"
"CA","90048","Au Pair","4"
"CA","90049","Au Pair","16"
"CA","90064","Au Pair","5"
"CA","90065","Au Pair","4"
"CA","90066","Au Pair","7"
"CA","90068","Au Pair","11"
"CA","90069","Au Pair","1"
"CA","90077","Au Pair","3"
"CA","90094","Au Pair","1"
"CA","90210","Au Pair","7"
"CA","90212","Au Pair","1"
"CA","90232","Au Pair","1"
"CA","90240","Au Pair","1"
"CA","90245","Au Pair","4"
"CA","90250","Au Pair","1"
"CA","90254","Au Pair","9"
"CA","90260","Au Pair","1"
"CA","90265","Au Pair","8"
"CA","90266","Au Pair","19"
"CA","90272","Au Pair","27"
"CA","90274","Au Pair","2"
"CA","90275","Au Pair","3"
"CA","90277","Au Pair","2"
"CA","90278","Au Pair","8"
"CA","90290","Au Pair","4"
"CA","90291","Au Pair","5"
"CA","90292","Au Pair","3"
"CA","90293","Au Pair","1"
"CA","90302","Au Pair","2"
"CA","90402","Au Pair","6"
"CA","90403","Au Pair","4"
"CA","90404","Au Pair","1"
"CA","90405","Au Pair","8"
"CA","90503","Au Pair","1"
"CA","90505","Au Pair","1"
"CA","90602","Au Pair","1"
"CA","90620","Au Pair","1"
"CA","90621","Au Pair","1"
"CA","90623","Au Pair","1"
"CA","90631","Au Pair","1"
"CA","90703","Au Pair","2"
"CA","90720","Au Pair","3"
"CA","90732","Au Pair","1"
"CA","90745","Au Pair","1"
"CA","90746","Au Pair","1"
"CA","90755","Au Pair","1"
"CA","90803","Au Pair","3"
"CA","90804","Au Pair","2"
"CA","90808","Au Pair","1"
"CA","90814","Au Pair","1"
"CA","90815","Au Pair","1"
"CA","91011","Au Pair","6"
"CA","91030","Au Pair","2"
"CA","91103","Au Pair","2"
"CA","91104","Au Pair","2"
"CA","91105","Au Pair","3"
"CA","91106","Au Pair","1"
"CA","91107","Au Pair","2"
"CA","91108","Au Pair","2"
"CA","91208","Au Pair","1"
"CA","91214","Au Pair","2"
"CA","91301","Au Pair","8"
"CA","91302","Au Pair","3"
"CA","91307","Au Pair","3"
"CA","91311","Au Pair","1"
"CA","91316","Au Pair","5"
"CA","91320","Au Pair","1"
"CA","91321","Au Pair","2"
"CA","91325","Au Pair","1"
"CA","91326","Au Pair","5"
"CA","91335","Au Pair","2"
"CA","91342","Au Pair","1"
"CA","91344","Au Pair","2"
"CA","91350","Au Pair","1"
"CA","91352","Au Pair","1"
"CA","91354","Au Pair","1"
"CA","91355","Au Pair","1"
"CA","91356","Au Pair","3"
"CA","91360","Au Pair","2"
"CA","91361","Au Pair","8"
"CA","91362","Au Pair","4"
"CA","91364","Au Pair","5"
"CA","91367","Au Pair","3"
"CA","91377","Au Pair","2"
"CA","91381","Au Pair","2"
"CA","91387","Au Pair","1"
"CA","91390","Au Pair","2"
"CA","91401","Au Pair","1"
"CA","91403","Au Pair","2"
"CA","91411","Au Pair","1"
"CA","91423","Au Pair","8"
"CA","91436","Au Pair","7"
"CA","91505","Au Pair","1"
"CA","91602","Au Pair","5"
"CA","91604","Au Pair","4"
"CA","91607","Au Pair","2"
"CA","91709","Au Pair","2"
"CA","91711","Au Pair","1"
"CA","91724","Au Pair","1"
"CA","91730","Au Pair","1"
"CA","91739","Au Pair","1"
"CA","91752","Au Pair","1"
"CA","91766","Au Pair","1"
"CA","91775","Au Pair","2"
"CA","91786","Au Pair","1"
"CA","91801","Au Pair","2"
"CA","91901","Au Pair","2"
"CA","91910","Au Pair","1"
"CA","91913","Au Pair","5"
"CA","91941","Au Pair","2"
"CA","91978","Au Pair","2"
"CA","92003","Au Pair","1"
"CA","92007","Au Pair","2"
"CA","92009","Au Pair","9"
"CA","92010","Au Pair","2"
"CA","92011","Au Pair","5"
"CA","92014","Au Pair","3"
"CA","92020","Au Pair","2"
"CA","92024","Au Pair","8"
"CA","92025","Au Pair","1"
"CA","92026","Au Pair","1"
"CA","92027","Au Pair","1"
"CA","92028","Au Pair","2"
"CA","92029","Au Pair","1"
"CA","92037","Au Pair","8"
"CA","92056","Au Pair","4"
"CA","92057","Au Pair","1"
"CA","92058","Au Pair","1"
"CA","92059","Au Pair","1"
"CA","92064","Au Pair","3"
"CA","92067","Au Pair","4"
"CA","92069","Au Pair","2"
"CA","92071","Au Pair","1"
"CA","92075","Au Pair","4"
"CA","92078","Au Pair","5"
"CA","92091","Au Pair","2"
"CA","92101","Au Pair","1"
"CA","92102","Au Pair","1"
"CA","92103","Au Pair","3"
"CA","92104","Au Pair","4"
"CA","92106","Au Pair","1"
"CA","92107","Au Pair","5"
"CA","92109","Au Pair","5"
"CA","92115","Au Pair","1"
"CA","92116","Au Pair","2"
"CA","92117","Au Pair","2"
"CA","92118","Au Pair","2"
"CA","92119","Au Pair","2"
"CA","92120","Au Pair","1"
"CA","92126","Au Pair","1"
"CA","92127","Au Pair","8"
"CA","92128","Au Pair","5"
"CA","92129","Au Pair","2"
"CA","92130","Au Pair","17"
"CA","92131","Au Pair","4"
"CA","92211","Au Pair","1"
"CA","92260","Au Pair","1"
"CA","92270","Au Pair","1"
"CA","92310","Au Pair","1"
"CA","92314","Au Pair","1"
"CA","92345","Au Pair","1"
"CA","92399","Au Pair","1"
"CA","92503","Au Pair","1"
"CA","92506","Au Pair","3"
"CA","92508","Au Pair","2"
"CA","92530","Au Pair","1"
"CA","92532","Au Pair","1"
"CA","92555","Au Pair","1"
"CA","92587","Au Pair","1"
"CA","92591","Au Pair","1"
"CA","92592","Au Pair","3"
"CA","92595","Au Pair","1"
"CA","92596","Au Pair","1"
"CA","92603","Au Pair","2"
"CA","92604","Au Pair","2"
"CA","92606","Au Pair","1"
"CA","92614","Au Pair","2"
"CA","92617","Au Pair","1"
"CA","92618","Au Pair","4"
"CA","92620","Au Pair","8"
"CA","92624","Au Pair","1"
"CA","92626","Au Pair","1"
"CA","92629","Au Pair","3"
"CA","92630","Au Pair","1"
"CA","92646","Au Pair","6"
"CA","92647","Au Pair","3"
"CA","92648","Au Pair","1"
"CA","92651","Au Pair","3"
"CA","92653","Au Pair","3"
"CA","92656","Au Pair","3"
"CA","92657","Au Pair","4"
"CA","92660","Au Pair","6"
"CA","92661","Au Pair","1"
"CA","92663","Au Pair","1"
"CA","92672","Au Pair","2"
"CA","92673","Au Pair","7"
"CA","92675","Au Pair","1"
"CA","92676","Au Pair","1"
"CA","92677","Au Pair","6"
"CA","92679","Au Pair","4"
"CA","92688","Au Pair","1"
"CA","92691","Au Pair","1"
"CA","92692","Au Pair","5"
"CA","92694","Au Pair","7"
"CA","92705","Au Pair","2"
"CA","92706","Au Pair","1"
"CA","92708","Au Pair","3"
"CA","92780","Au Pair","2"
"CA","92782","Au Pair","2"
"CA","92807","Au Pair","1"
"CA","92808","Au Pair","3"
"CA","92821","Au Pair","1"
